pipeline,notebook,categorie,test_f1_class_1,test_recall_class_1,test_precision_class_1,test_accuracy,test_balanced_accuracy,rang
RoBERTa,NB6 — Deep Learning,Deep Learning,0.771,0.814,0.732,0.91,0.873,1
BERTweet,NB6 — Deep Learning,Deep Learning,0.747,0.788,0.709,0.901,0.857,2
DistilBERT,NB6 — Deep Learning,Deep Learning,0.745,0.766,0.724,0.903,0.85,3
P24_Voting,NB5 — Ensemblistes,Ensemblistes,0.717,0.687,0.75,0.9,0.817,4
P12_Count_ComplementNB,NB3 — Naive Bayes complet,TF-IDF Classique,0.712,0.704,0.721,0.895,0.821,5
P11_CountBin_BernoulliNB,NB3 — Naive Bayes complet,TF-IDF Classique,0.711,0.667,0.761,0.9,0.81,6
P03_TFIDF_UniBi_LogReg,NB1 — Count + TF-IDF Word,TF-IDF Classique,0.71,0.771,0.657,0.883,0.84,7
P25_Stacking,NB5 — Ensemblistes,Ensemblistes,0.709,0.646,0.786,0.902,0.803,8
P15_TFIDF_Num_LogReg,NB3 — Naive Bayes complet,TF-IDF Classique,0.708,0.778,0.649,0.881,0.841,9
P08_TFIDF_Word_LogReg_Balanced,NB2 — Char + Hybrid,TF-IDF Avancé,0.705,0.781,0.643,0.879,0.841,10
P04_TFIDF_UniBi_LinearSVC,NB1 — Count + TF-IDF Word,TF-IDF Classique,0.701,0.73,0.673,0.885,0.825,11
P14_TFIDF_Word_SGD_ModHuber,NB3 — Naive Bayes complet,TF-IDF Classique,0.698,0.646,0.759,0.897,0.8,12
P05_TFIDF_UniBi_SGDLog,NB1 — Count + TF-IDF Word,TF-IDF Classique,0.688,0.619,0.774,0.896,0.789,13
P09_Hybrid_LogReg,NB2 — Char + Hybrid,TF-IDF Avancé,0.685,0.745,0.634,0.873,0.824,14
P10_Hybrid_LinearSVC,NB2 — Char + Hybrid,TF-IDF Avancé,0.684,0.749,0.63,0.872,0.825,15
P13_TFIDF_Word_SGD_Hinge,NB3 — Naive Bayes complet,TF-IDF Classique,0.683,0.754,0.625,0.871,0.826,16
P01_Count_MultinomialNB,NB1 — Count + TF-IDF Word,TF-IDF Classique,0.682,0.696,0.669,0.88,0.809,17
P02_TFIDF_Unigram_LogReg,NB1 — Count + TF-IDF Word,TF-IDF Classique,0.667,0.766,0.591,0.859,0.823,18
P22_XGB,NB5 — Ensemblistes,Ensemblistes,0.658,0.648,0.667,0.875,0.787,19
P23_LGBM,NB5 — Ensemblistes,Ensemblistes,0.657,0.6,0.726,0.884,0.774,20
P07_TFIDF_Char_LinearSVC,NB2 — Char + Hybrid,TF-IDF Avancé,0.654,0.747,0.582,0.854,0.813,21
P06_TFIDF_Char_ComplementNB,NB2 — Char + Hybrid,TF-IDF Avancé,0.649,0.776,0.557,0.845,0.818,22
P19_GloVeTwitter_LinearSVC,NB4 — Embeddings,Embeddings,0.625,0.814,0.507,0.819,0.817,23
P18_GloVeTwitter_LogReg,NB4 — Embeddings,Embeddings,0.62,0.81,0.503,0.817,0.814,24
P20_GloVeTwitter_LogReg_Balanced,NB4 — Embeddings,Embeddings,0.62,0.81,0.503,0.817,0.814,25
P21_RF,NB5 — Ensemblistes,Ensemblistes,0.618,0.535,0.73,0.878,0.745,26
BiLSTM,NB6 — Deep Learning,Deep Learning,0.616,0.716,0.541,0.835,0.789,27
TextCNN,NB6 — Deep Learning,Deep Learning,0.615,0.549,0.699,0.873,0.748,28
P16_W2V_LogReg,NB4 — Embeddings,Embeddings,0.614,0.793,0.501,0.816,0.807,29
P17_W2V_LinearSVC,NB4 — Embeddings,Embeddings,0.611,0.781,0.502,0.816,0.803,30
